_id;title;author;ID Authors;cover;description;editorial;ID Editorial;price;__v;createdAt;updatedAt
66a98655207851a4a0cd402e;La metamorfosis;Franz Kafka;66a988f1fbfb085adb563bb1;https://www.alianzaeditorial.es/imagenes/libros/grande/9788420651361-la-metamorfosis.jpg;Uno de los trabajos más influyentes de Kafka, 'La metamorfosis' cuenta la historia de Gregor Samsa, un vendedor que se despierta una mañana convertido en un insecto.;Alianza Editorial;66a98ab6116bf4f62cb7e8a7;9.95;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd402f;El retrato de Dorian Gray;Oscar Wilde;66a988f1fbfb085adb563bc4;https://www.penguinlibros.com/es/2445622/el-retrato-de-dorian-gray.jpg;Una novela sobre la belleza y la corrupción, 'El retrato de Dorian Gray' cuenta la historia de un joven rico que, después de ver su retrato envejecer en su lugar, se sumerge en una vida de pecado y depravación.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;10.95;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd4030;El extranjero;Albert Camus;66a988f1fbfb085adb563bac;https://m.media-amazon.com/images/I/61RLAWzw+rL._AC_UF1000,1000_QL80_.jpg;'El extranjero' es una novela filosófica que cuenta la historia de Meursault, un empleado de oficina francés que mata a un hombre árabe enla playa y luego es juzgado por su crimen y su aparente indiferencia ante la vida.;Alianza Editorial;66a98ab6116bf4f62cb7e8a7;11.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4031;El proceso;Franz Kafka;66a988f1fbfb085adb563bb1;https://www.alianzaeditorial.es/imagenes/libros/grande/9788420678191-el-proceso.jpg;Otra obra influyente de Kafka, 'El proceso' es una novela sobre la burocracia y la opresión del individuo por parte del sistema.;Alianza Editorial;66a98ab6116bf4f62cb7e8a7;10.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4032;Las aventuras de Tom Sawyer;Mark Twain;66a988f1fbfb085adb563bc0;https://www.penguinlibros.com/es/2495100/las-aventuras-de-tom-sawyer.jpg;Una de las obras más populares de Twain, 'Las aventuras de Tom Sawyer' cuenta la historia de un niño travieso en la América rural del siglo XIX y sus aventuras junto a su amigo Huckleberry Finn.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;12.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4033;La isla del tesoro;Robert Louis Stevenson;66a988f1fbfb085adb563bc5;https://www.penguinlibros.com/es/1513886/la-isla-del-tesoro.jpg;Una novela de aventuras clásica que cuenta la historia del joven Jim Hawkins y su búsqueda del tesoro en una isla remota con el pirata Long John Silver.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;11.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4034;El conde de Montecristo;Alexandre Dumas;66a988f1fbfb085adb563bad;https://www.penguinlibros.com/es/2013137/el-conde-de-montecristo.jpg;Una novela de venganza clásica que cuenta la historia del joven Edmond Dantès, quien es traicionado y encarcelado injustamente, y su búsqueda de venganza contra aquellos que lo hicieron sufrir.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;21.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4035;Drácula;Bram Stoker;66a988f1fbfb085adb563baf;https://www.penguinlibros.com/es/1497794/dracula-los-mejores-clasicos.jpg;Una novela de terror clásica que cuenta la historia del Conde Drácula y su lucha contra un grupo de personas que intentan acabar con él.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;12.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4036;El retrato de una dama;Henry James;66a988f1fbfb085adb563bb6;https://www.penguinlibros.com/es/1514262/retrato-de-una-dama.jpg;Una novela de la alta sociedad que cuenta la historia de Isabel Archer, una joven americana que se muda a Europa y se encuentra enredada en una red de intriga y manipulación.;Random House;66a98ab6116bf4f62cb7e8b5;16.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4037;El corazón de las tinieblas;Joseph Conrad;66a988f1fbfb085adb563bbc;https://www.alianzaeditorial.es/imagenes/libros/grande/9788420669809-el-corazon-de-las-tinieblas.jpg;Una novela corta que cuenta la historia del capitán Marlow, quien navega por el río Congo en busca de un misterioso comerciante llamado Kurtz, y descubre los horrores del colonialismo y la naturaleza humana.;Alianza Editorial;66a98ab6116bf4f62cb7e8a7;9.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4038;La náusea;Jean-Paul Sartre;66a988f1fbfb085adb563bbb;https://www.alianzaeditorial.es/imagenes/libros/grande/9788420652764-la-nausea.jpg;Una novela filosófica que cuenta la historia de Antoine Roquentin, un escritor que experimenta una profunda sensación de náusea y alienación en su vida cotidiana.;Alianza Editorial;66a98ab6116bf4f62cb7e8a7;11.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4039;Mujercitas;Louisa May Alcott;66a988f1fbfb085adb563bbf;https://www.penguinlibros.com/es/1921164/mujercitas-edicion-conmemorativa.jpg;Una novela que cuenta la historia de las cuatro hermanas March y sus experiencias de crecimiento y madurez durante la Guerra Civil estadounidense.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;9.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd403a;Moby Dick;Herman Melville;66a988f1fbfb085adb563bb7;https://m.media-amazon.com/images/I/91mq5khI9-L._AC_UF1000,1000_QL80_.jpg;Una novela que cuenta la historia del capitán Ahab y su obsesión por cazar a la ballena blanca, y que es considerada una obra maestra de la literatura estadounidense.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;14.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd403b;La guerra y la paz;León Tolstói;66a988f1fbfb085adb563bbe;https://www.penguinlibros.com/es/1488746/guerra-y-paz.jpg;Una novela que cuenta la historia de varias familias aristocráticas rusas durante las guerras napoleónicas, y que es considerada una de las obras cumbre de la literatura universal.;Random House;66a98ab6116bf4f62cb7e8b5;24.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd403c;Sentido y sensibilidad;Jane Austen;66a988f1fbfb085adb563bba;https://www.penguinlibros.com/es/1513913/sentido-y-sensibilidad-edicion-conmemorativa.jpg;Una novela que cuenta la historia de las hermanas Dashwood y sus experiencias en el amor y la sociedad en la Inglaterra del siglo XIX.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;9.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd403d;Emma;Jane Austen;66a988f1fbfb085adb563bba;https://m.media-amazon.com/images/I/91PEkzhb80L._AC_UF1000,1000_QL80_.jpg;Una novela de comedia romántica que cuenta la historia de Emma Woodhouse y sus intentos de hacer de casamentera en su pequeña ciudad inglesa.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;10.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd403e;El amor en los tiempos del cólera;Gabriel García Márquez;66a988f1fbfb085adb563bb3;https://www.penguinlibros.com/es/2281021/el-amor-en-los-tiempos-del-colera-edicion-ilustrada.jpg;Una novela que cuenta la historia de amor entre Florentino Ariza y Fermina Daza, que se extiende por más de 50 años, en la ciudad caribeña de Cartagena.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;12.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd403f;Crónica de una muerte anunciada;Gabriel García Márquez;66a988f1fbfb085adb563bb3;https://www.unitheque.com/Intermediaire1/CouvertureC/R/9788497592437-cronica-muerte-anunciada_g.jpg;Una novela que cuenta la historia de un asesinato en un pequeño pueblo colombiano, y cómo todos los habitantes conocían los planes del asesinato, pero nadie hizo nada para evitarlo.;Debolsillo ;66a98ab6116bf4f62cb7e8a9;9.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4040;Doña Bárbara;Rómulo Gallegos;66a988f1fbfb085adb563bc6;https://adriw.com/wp-content/uploads/2020/02/do%C3%B1a-barbara-libro-18.jpg;Una novela que cuenta la historia de la lucha entre Doña Bárbara, una terrateniente sin escrúpulos, y Santos Luzardo, un abogado que busca recuperar sus tierras y su honor.;Andrés Bello;66a98ab6116bf4f62cb7e8a8;10.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4041;La casa de los espíritus;Isabel Allende;66a988f1fbfb085adb563bb9;https://editorial.tirant.com/high/9788401343438.jpg;Una novela que cuenta la historia de la familia Trueba en Chile, y su lucha contra la opresión política y social en el siglo XX, con un toque mágico y poético.;Plaza & Janés;66a98ab6116bf4f62cb7e8b2;14.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4042;Los pasos perdidos;Miguel Otero Silva;66a988f1fbfb085adb563bc2;https://m.media-amazon.com/images/I/51EHtVYVCYL._AC_UF1000,1000_QL80_.jpg;Una novela que cuenta la historia de la familia Liscano en Venezuela, y su lucha contra la dictadura de Juan Vicente Gómez a principios del siglo XX.;Lectorum;66a98ab6116bf4f62cb7e8af;12.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4043;La invención de Morel;Adolfo Bioy Casares;66a988f1fbfb085adb563bab;https://m.media-amazon.com/images/I/81KtTUKjcYL.jpg;Una novela que cuenta la historia de un hombre que se encuentra en una isla misteriosa, y su encuentro con una mujer que parece no darse cuenta de su presencia.;Emecé Editores;66a98ab6116bf4f62cb7e8ac;10.95;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4044;El Libro de las Bestias Fantásticas;Newton Scamander;66a988f1fbfb085adb563bc3;https://static.wikia.nocookie.net/esharrypotter/images/8/89/Animales_Fant%C3%A1sticos_y_D%C3%B3nde_Encontrarlos_2009.jpg/revision/latest/scale-to-width/360?cb=20110728035143;Una guía completa sobre las criaturas mágicas que habitan nuestro mundo.;Salamandra;66a98ab6116bf4f62cb7e8b3;29.99;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4045;El Necronomicón;Abdul Alhazred;66a988f1fbfb085adb563baa;https://images.cdn3.buscalibre.com/fit-in/360x360/36/26/36263f832494dc84a92df3491586865c.jpg;Un antiguo grimorio que contiene conocimientos prohibidos sobre magia negra.;La factoría de ideas;66a98ab6116bf4f62cb7e8ae;15.66;0;2024-07-31T00:33:25.182Z;2024-07-31T00:33:25.182Z
66a98655207851a4a0cd4046;Las Crónicas de Narnia;C.S. Lewis;66a988f1fbfb085adb563bb0;https://www.libreriagenesis.net/libros/5375.jpg;Una saga épica que narra las aventuras de cuatro hermanos en un mundo mágico.;Editorial Planeta;66a98ab6116bf4f62cb7e8ab;17.99;0;2024-07-31T00:33:25.183Z;2024-07-31T00:33:25.183Z
66a98655207851a4a0cd4047;El Hobbit;J.R.R. Tolkien;66a988f1fbfb085adb563bbd;https://www.planetadelibros.com/usuaris/libros/fotos/357/original/portada_el-hobbit_j-r-r-tolkien_202207271130.jpg;La historia de un hobbit que se embarca en una aventura épica.;Editorial Planeta;66a98ab6116bf4f62cb7e8ab;20.99;0;2024-07-31T00:33:25.183Z;2024-07-31T00:33:25.183Z
66a98655207851a4a0cd4048;El Principito;Antoine de Saint-Exupéry;66a988f1fbfb085adb563bae;https://upload.wikimedia.org/wikipedia/commons/1/1c/El_principito.jpg;Una fábula poética sobre la amistad, el amor y la vida.;Emecé Editores;66a98ab6116bf4f62cb7e8ac;13.99;0;2024-07-31T00:33:25.183Z;2024-07-31T00:33:25.183Z
